Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
AdaBoostClassifier,0.9706585000127075,2398,1954,355,73987,0.9742694986897723,0.9952247719996772,0.9846356540659955,0.02934149998729255
BaggingClassifier,0.9708236968510942,2719,1633,663,73679,0.9783168684937328,0.9910817572839041,0.9846579443249095,0.02917630314890589
BernoulliNB,0.9446971814877881,0,4352,0,74342,0.9446971814877881,1.0,0.9715622467916046,0.05530281851221186
CalibratedClassifierCV,0.9450402826136681,32,4320,5,74337,0.945077996872497,0.9999327432676011,0.9717318413845842,0.05495971738633187
CategoricalNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ClassifierChain,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ComplementNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DecisionTreeClassifier,0.9533255394312146,2607,1745,1928,72414,0.9764694777437668,0.9740658039869791,0.9752661598238396,0.04667446056878542
DummyClassifier,0.9446971814877881,0,4352,0,74342,0.9446971814877881,1.0,0.9715622467916046,0.05530281851221186
ExtraTreeClassifier,0.9525503850357079,2508,1844,1890,72452,0.975180359642511,0.9745769551532109,0.9748785640280413,0.04744961496429207
ExtraTreesClassifier,0.9726535695224541,2618,1734,418,73924,0.9770810753654604,0.9943773371714508,0.9856533333333334,0.027346430477545938
FixedThresholdClassifier,0.9638854296388543,1880,2472,370,73972,0.9676626026895505,0.9950230018024804,0.9811520963484673,0.0361145703611457
GaussianNB,0.9064477596767225,2016,2336,5026,69316,0.9673979791213085,0.9323935325926125,0.9495732701343891,0.09355224032327751
GaussianProcessClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GradientBoostingClassifier,0.9729966706483341,2602,1750,375,73967,0.9768876210098129,0.9949557450700816,0.9858389033646766,0.027003329351665946
HistGradientBoostingClassifier,0.9734287239179608,2679,1673,418,73924,0.9778694921756155,0.9943773371714508,0.9860543287603626,0.02657127608203929
KNeighborsClassifier,0.9716878033903474,2566,1786,442,73900,0.976402505086806,0.994054504855936,0.9851494387714294,0.02831219660965258
LabelPropagation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LabelSpreading,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LinearDiscriminantAnalysis,0.9639235519861743,1979,2373,466,73876,0.9688782803708901,0.9937316725404213,0.9811476117430656,0.0360764480138257
LinearSVC,0.937809744071975,207,4145,749,73593,0.9466798734209781,0.9899249414866428,0.9678195686480799,0.06219025592802501
LogisticRegression,0.9638854296388543,1880,2472,370,73972,0.9676626026895505,0.9950230018024804,0.9811520963484673,0.0361145703611457
LogisticRegressionCV,0.9638854296388543,1880,2472,370,73972,0.9676626026895505,0.9950230018024804,0.9811520963484673,0.0361145703611457
MLPClassifier,0.9657534246575342,1747,2605,90,74252,0.9661058849551765,0.9987893788168196,0.9821758080410584,0.03424657534246575
MultiOutputClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MultinomialNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NearestCentroid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NuSVC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
OneVsOneClassifier,0.9638854296388543,1880,2472,370,73972,0.9676626026895505,0.9950230018024804,0.9811520963484673,0.0361145703611457
OneVsRestClassifier,0.9638854296388543,1880,2472,370,73972,0.9676626026895505,0.9950230018024804,0.9811520963484673,0.0361145703611457
OutputCodeClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PassiveAggressiveClassifier,0.939906473174575,179,4173,556,73786,0.946471863415385,0.9925210513572409,0.9689496457672635,0.06009352682542506
Perceptron,0.937885988766615,259,4093,795,73547,0.9472823286965482,0.9893061795485728,0.9678382966403917,0.06211401123338501
QuadraticDiscriminantAnalysis,0.9416092713548683,2293,2059,2536,71806,0.9721248223109727,0.9658873853272713,0.9689960663126573,0.05839072864513178
RadiusNeighborsClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RandomForestClassifier,0.9726027397260274,2643,1709,447,73895,0.9773953759060368,0.9939872481235371,0.9856214904032118,0.0273972602739726
RidgeClassifier,0.9543421353597479,825,3527,66,74276,0.9546675578062542,0.9991122111323344,0.97638437017319,0.045657864640252115
RidgeClassifierCV,0.9545581619945612,841,3511,65,74277,0.9548645035223942,0.9991256624788142,0.9764937882074541,0.04544183800543879
SGDClassifier,0.9328792538185885,914,3438,1844,72498,0.9547250316055625,0.9751957170912808,0.964851807982539,0.06712074618141155
SVC,0.9725900322769208,2377,1975,182,74160,0.9740592368818546,0.9975518549406795,0.985665583444646,0.02740996772307927
TunedThresholdClassifierCV,0.8824560957633365,3515,837,8413,65929,0.9874636791181141,0.8868338220655888,0.9344473736428834,0.11754390423666353
VotingClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
XGBClassifier,0.9728314738099474,2636,1716,422,73920,0.9773123909249564,0.9943235317855317,0.9857445758711277,0.027168526190052607
