Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
AdaBoostClassifier,0.9144620929888505,66373,7984,4736,69613,0.897109424333415,0.9363004209875049,0.9162860489910889,0.08553790701114952
BaggingClassifier,0.9122026011055371,66623,7734,5322,69027,0.8992457107124712,0.9284186740911109,0.9135993647012111,0.0877973988944629
BernoulliNB,0.776081664492354,58747,15610,17688,56661,0.7840074165294516,0.7620949844651576,0.7728959214295458,0.22391833550764595
CalibratedClassifierCV,0.7964776135461918,51841,22516,7749,66600,0.7473405449077607,0.8957753298632127,0.8148533325176643,0.20352238645380819
CategoricalNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ClassifierChain,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ComplementNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DecisionTreeClassifier,0.8744704315898484,65363,8994,9673,64676,0.8779150264693906,0.8698973758893865,0.8738878116998493,0.1255295684101516
DummyClassifier,0.4999731012871034,0,74357,0,74349,0.4999731012871034,1.0,0.6666427562708749,0.5000268987128966
ExtraTreeClassifier,0.8674565922020632,64495,9862,9848,64501,0.8673802832053575,0.8675436118844907,0.8674619398569047,0.13254340779793686
ExtraTreesClassifier,0.9193105859884605,66346,8011,3988,70361,0.89778237125504,0.9463610808484311,0.9214318921431892,0.08068941401153955
FixedThresholdClassifier,0.9073810068188237,64109,10248,3525,70824,0.8735938425103612,0.952588467901384,0.9113826316906982,0.09261899318117628
GaussianNB,0.7990800640189367,50152,24205,5673,68676,0.7393977239693802,0.9236976960012913,0.8213358847096813,0.2009199359810633
GaussianProcessClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GradientBoostingClassifier,0.9197678641077024,66562,7795,4136,70213,0.9000743513485796,0.9443704690042906,0.9216905032259758,0.08023213589229755
HistGradientBoostingClassifier,0.9212674673516872,66140,8217,3491,70858,0.8960859943092001,0.9530457706223352,0.9236886015225779,0.07873253264831277
KNeighborsClassifier,0.9132785496214006,65482,8875,4021,70328,0.8879461636554171,0.9459172282075078,0.916015421485881,0.08672145037859938
LabelPropagation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LabelSpreading,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LinearDiscriminantAnalysis,0.8356354148453996,51117,23240,1202,73147,0.758888646809217,0.9838330038063726,0.8568433136538282,0.16436458515460034
LinearSVC,0.722593573897489,63623,10734,30518,43831,0.8032804911573352,0.5895304577062234,0.6800037234125076,0.277406426102511
LogisticRegression,0.9073810068188237,64109,10248,3525,70824,0.8735938425103612,0.952588467901384,0.9113826316906982,0.09261899318117628
LogisticRegressionCV,0.9074079055317203,64108,10249,3520,70829,0.8735908631194652,0.9526557183015238,0.9114117881706525,0.09259209446827969
MLPClassifier,0.9010060118623324,68062,6295,8426,65923,0.9128333656429145,0.8866696256842728,0.8995612927875989,0.09899398813766762
MultiOutputClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MultinomialNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NearestCentroid,0.800465347733111,45312,29045,627,73722,0.7173703620812129,0.991566799822459,0.832471374692292,0.19953465226688902
OneVsOneClassifier,0.9073810068188237,64109,10248,3525,70824,0.8735938425103612,0.952588467901384,0.9113826316906982,0.09261899318117628
OneVsRestClassifier,0.9073810068188237,64109,10248,3525,70824,0.8735938425103612,0.952588467901384,0.9113826316906982,0.09261899318117628
OutputCodeClassifier,0.9074079055317203,64107,10250,3519,70830,0.8735816477553034,0.9526691683815519,0.9114129280893527,0.09259209446827969
PassiveAggressiveClassifier,0.6085497558941805,19326,55031,3180,71169,0.5639381933438986,0.9572287455110358,0.7097417588718966,0.3914502441058195
Perceptron,0.5036246015628152,74136,221,73593,756,0.7737973387922211,0.010168260501149981,0.02007275044473356,0.49637539843718476
QuadraticDiscriminantAnalysis,0.8497236157249876,55929,18428,3919,70430,0.7926129329942155,0.9472891363703614,0.8630757259186187,0.15027638427501244
RadiusNeighborsClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RandomForestClassifier,0.9202318669051686,66412,7945,3917,70432,0.8986309759240594,0.9473160365304174,0.9223314956196064,0.07976813309483141
RidgeClassifier,0.8356354148453996,51117,23240,1202,73147,0.758888646809217,0.9838330038063726,0.8568433136538282,0.16436458515460034
RidgeClassifierCV,0.7367355722028701,38435,35922,3227,71122,0.6644183700160682,0.9565965917497209,0.784175795096834,0.2632644277971299
SGDClassifier,0.5997337027423237,71916,2441,57081,17268,0.876147952711959,0.23225598192309244,0.36717769886665674,0.4002662972576762
TunedThresholdClassifierCV,0.9076432692695654,64361,9996,3738,70611,0.8759909189028248,0.9497236008554251,0.9113683884457523,0.09235673073043454
VotingClassifier,0.9156254623216279,67002,7355,5192,69157,0.9038712881639481,0.9301671844947478,0.9168307249719941,0.0843745376783721
XGBClassifier,0.9208707113364626,66130,8227,3540,70809,0.8959081937345007,0.9523867167009644,0.9232845454249111,0.07912928866353745
