Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
AdaBoostClassifier,0.9009864432932878,95627,11520,6447,67866,0.854886251983977,0.9132453271971257,0.8831026877208049,0.09901355670671222
BaggingClassifier,0.8909125978177008,95882,11265,8530,65783,0.8537924410756931,0.8852152382490278,0.8692199443714035,0.10908740218229913
BernoulliNB,0.7023421139645101,92875,14272,39741,34572,0.7078044386209156,0.46522142828307295,0.5614297197885626,0.2976578860354899
CalibratedClassifierCV,0.8340791358977185,86483,20664,9444,64869,0.7584090351092561,0.8729159097331557,0.811643707068053,0.1659208641022815
CategoricalNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ClassifierChain,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ComplementNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DecisionTreeClassifier,0.8518571586024468,94055,13092,13790,60523,0.8221558106364192,0.8144335446018867,0.8182764588178033,0.14814284139755318
DummyClassifier,0.5904717293067343,107147,0,74313,0,0.0,0.0,0.0,0.40952827069326575
ExtraTreeClassifier,0.852204342554833,93918,13229,13590,60723,0.8211136953699697,0.817124863751968,0.8191144234984656,0.14779565744516698
ExtraTreesClassifier,0.8997850766009038,95197,11950,6235,68078,0.8506772629579648,0.916098125496212,0.8821764793541573,0.10021492339909623
FixedThresholdClassifier,0.9011021712774165,94251,12896,5050,69263,0.8430360642169452,0.9320441914604444,0.8853085536070351,0.09889782872258349
GaussianNB,0.8412983577647967,81652,25495,3303,71010,0.7358167970571473,0.9555528642364055,0.8314112095914951,0.15870164223520336
GaussianProcessClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GradientBoostingClassifier,0.9046401410779235,95091,12056,5248,69065,0.85138250268118,0.9293797855018637,0.8886730059060437,0.09535985892207649
HistGradientBoostingClassifier,0.9047999559131489,95060,12087,5188,69125,0.8511673151750972,0.9301871812468882,0.8889246101912875,0.0952000440868511
KNeighborsClassifier,0.8935688305962747,94971,12176,7137,67176,0.8465571126121585,0.9039602761293448,0.8743175088666906,0.10643116940372534
LabelPropagation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LabelSpreading,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LinearDiscriminantAnalysis,0.8677835335611154,86970,20177,3815,70498,0.7774800110283981,0.948663087212197,0.8545833636385677,0.1322164664388846
LinearSVC,0.6145266174363496,105763,1384,68564,5749,0.8059722416935371,0.0773619689690902,0.14117329273383591,0.3854733825636504
LogisticRegression,0.9011021712774165,94251,12896,5050,69263,0.8430360642169452,0.9320441914604444,0.8853085536070351,0.09889782872258349
LogisticRegressionCV,0.9011021712774165,94251,12896,5050,69263,0.8430360642169452,0.9320441914604444,0.8853085536070351,0.09889782872258349
MLPClassifier,0.8997189463242588,92828,14319,3878,70435,0.8310522217240485,0.9478153216799214,0.8856016647073246,0.10028105367574121
MultiOutputClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MultinomialNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NearestCentroid,0.7788658657555384,67501,39646,481,73832,0.6506283156206489,0.9935273774440542,0.7863209631984494,0.2211341342444616
OneVsOneClassifier,0.9011021712774165,94251,12896,5050,69263,0.8430360642169452,0.9320441914604444,0.8853085536070351,0.09889782872258349
OneVsRestClassifier,0.9011021712774165,94251,12896,5050,69263,0.8430360642169452,0.9320441914604444,0.8853085536070351,0.09889782872258349
OutputCodeClassifier,0.9011021712774165,94251,12896,5050,69263,0.8430360642169452,0.9320441914604444,0.8853085536070351,0.09889782872258349
PassiveAggressiveClassifier,0.5323817921304971,24083,83064,1790,72523,0.4661250618624949,0.9759126936067714,0.6309090909090909,0.4676182078695029
Perceptron,0.6038135126198612,106612,535,71357,2956,0.8467487825837868,0.039777697038203275,0.0759858104981749,0.3961864873801389
QuadraticDiscriminantAnalysis,0.849267056100518,83167,23980,3372,70941,0.7473688646348016,0.9546243591296274,0.8383776309724996,0.15073294389948197
RadiusNeighborsClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RandomForestClassifier,0.9011848341232227,95226,11921,6010,68303,0.8514035700039888,0.9191258595400535,0.8839695348039628,0.09881516587677724
RidgeClassifier,0.8686487380138873,87259,19888,3947,70366,0.7796441154962661,0.9468868165731433,0.8551653733737626,0.13135126198611263
RidgeClassifierCV,0.26911164995040227,48466,58681,73946,367,0.006215282482048503,0.004938570640399392,0.0055038579494754835,0.7308883500495977
SGDClassifier,0.7681196958007275,67631,39516,2561,71752,0.6448574612646942,0.9655376582832075,0.7732688152343181,0.23188030419927258
TunedThresholdClassifierCV,0.9005290422131599,93147,14000,4050,70263,0.8338535300191069,0.9455007872108514,0.8861744526283927,0.09947095778684008
VotingClassifier,0.9000440868510967,96099,11048,7090,67223,0.8588493822744055,0.9045927361296139,0.8811277722434856,0.09995591314890334
XGBClassifier,0.904000881737022,95020,12127,5293,69020,0.8505551653172637,0.9287742386930954,0.8879454522063553,0.09599911826297806
