Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
AdaBoostClassifier,0.9198997024137551,97379,9768,4767,69546,0.8768439367576972,0.9358524080578096,0.9053877248139975,0.0801002975862449
BaggingClassifier,0.9352749917337154,100388,6759,4986,69327,0.9111663118050627,0.9329054135884703,0.9219077254503022,0.06472500826628458
BernoulliNB,0.8816212939490797,94206,12941,8540,65773,0.8355946845542089,0.8850806722915237,0.859626079057944,0.11837870605092031
CalibratedClassifierCV,0.905808442631985,94290,12857,4235,70078,0.8449749804063423,0.9430113169970261,0.8913054538054538,0.09419155736801499
CategoricalNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ClassifierChain,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ComplementNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DecisionTreeClassifier,0.9076545795216576,99143,8004,8753,65560,0.8911967810342015,0.8822144173966869,0.8866828512885709,0.09234542047834234
DummyClassifier,0.5904717293067343,107147,0,74313,0,0.0,0.0,0.0,0.40952827069326575
ExtraTreeClassifier,0.8961809765237518,97618,9529,9310,65003,0.8721488756507272,0.8747190935637102,0.8734320937888408,0.1038190234762482
ExtraTreesClassifier,0.9436900694367905,99869,7278,2940,71373,0.9074646221917076,0.9604376084938032,0.9331999686200675,0.05630993056320952
FixedThresholdClassifier,0.8919596605312465,96453,10694,8911,65402,0.8594669890664424,0.8800882752681227,0.869655406258934,0.10804033946875344
GaussianNB,0.8544582828171498,82328,24819,1591,72722,0.7455531520078736,0.9785905561611024,0.8463230416516345,0.14554171718285022
GaussianProcessClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GradientBoostingClassifier,0.9366361732613248,99062,8085,3413,70900,0.8976387921757296,0.9540726387038607,0.9249957598924969,0.06336382673867519
HistGradientBoostingClassifier,0.9432051140747272,99830,7317,2989,71324,0.9069569308630359,0.9597782353020333,0.9326202649162493,0.056794885925272785
KNeighborsClassifier,0.9097321723795878,96640,10507,5873,68440,0.8669107122499905,0.9209694131578593,0.893122797859846,0.09026782762041222
LabelPropagation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LabelSpreading,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LinearDiscriminantAnalysis,0.8805576986663728,88581,18566,3108,71205,0.7931848815318978,0.9581769004077348,0.8679091197191682,0.11944230133362725
LinearSVC,0.9097376832359749,95503,11644,4735,69578,0.8566398266479526,0.9362830191218225,0.8946925129392098,0.09026231676402513
LogisticRegression,0.8919596605312465,96453,10694,8911,65402,0.8594669890664424,0.8800882752681227,0.869655406258934,0.10804033946875344
LogisticRegressionCV,0.9237683235974871,96846,10301,3532,70781,0.8729557731679041,0.9524713038095622,0.910981691817626,0.07623167640251295
MLPClassifier,0.9307616003526948,98290,8857,3707,70606,0.8885393201867536,0.950116399553241,0.9182967433149516,0.06923839964730519
MultiOutputClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MultinomialNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NearestCentroid,0.8030089275873471,73366,33781,1965,72348,0.6816986874464096,0.9735577893504501,0.8018975626517107,0.19699107241265293
OneVsOneClassifier,0.8919596605312465,96453,10694,8911,65402,0.8594669890664424,0.8800882752681227,0.869655406258934,0.10804033946875344
OneVsRestClassifier,0.8919596605312465,96453,10694,8911,65402,0.8594669890664424,0.8800882752681227,0.869655406258934,0.10804033946875344
OutputCodeClassifier,0.8919596605312465,96453,10694,8911,65402,0.8594669890664424,0.8800882752681227,0.869655406258934,0.10804033946875344
PassiveAggressiveClassifier,0.816620742863441,90477,16670,16606,57707,0.7758715732013929,0.7765397709687403,0.7762055282803147,0.18337925713655903
Perceptron,0.703075057863992,101217,5930,47950,26363,0.8163688725110705,0.3547562337679814,0.494587546667167,0.29692494213600795
QuadraticDiscriminantAnalysis,0.9062768654248871,92395,14752,2255,72058,0.8300656606381753,0.9696553765828321,0.8944470994209393,0.09372313457511297
RadiusNeighborsClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RandomForestClassifier,0.9424501267496969,99954,7193,3250,71063,0.9080837252095686,0.9562660638111771,0.931552281262904,0.0575498732503031
RidgeClassifier,0.8813567728424997,88793,18354,3175,71138,0.7949090421490189,0.9572753084924576,0.8685693354903696,0.11864322715750028
RidgeClassifierCV,0.5893254711782211,89352,17795,56726,17587,0.4970606523090837,0.236661149462409,0.3206527189024112,0.4106745288217789
SGDClassifier,0.8167860685550534,97282,9865,23381,50932,0.837738704212379,0.6853713347597324,0.7539338316926948,0.18321393144494655
TunedThresholdClassifierCV,0.8954755869062052,92120,15027,3940,70373,0.82403981264637,0.9469810127433962,0.8812432300438913,0.10452441309379477
VotingClassifier,0.9122616554612587,101849,5298,10623,63690,0.9232040354844321,0.8570505833434258,0.8888981933133754,0.08773834453874133
XGBClassifier,0.9446654910173041,100034,7113,2928,71385,0.9093862264006727,0.9605990876428081,0.9342913795472839,0.05533450898269591
