Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
AdaBoostClassifier,0.9271986335453849,66426,7931,2895,71454,0.9000944762864521,0.961062018319009,0.929579663574746,0.07280136645461514
BaggingClassifier,0.9388525009078316,68895,5462,3631,70718,0.9283013914413232,0.9511627594184185,0.9395930352290921,0.06114749909216844
BernoulliNB,0.8833940795932914,64340,10017,7323,67026,0.8699816985319886,0.9015050639551305,0.8854629042485732,0.11660592040670854
CalibratedClassifierCV,0.9076029212002206,63369,10988,2752,71597,0.8669492038505782,0.9629853797630096,0.9124472708272268,0.09239707879977943
CategoricalNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ClassifierChain,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ComplementNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DecisionTreeClassifier,0.9105348809059487,67926,6431,6873,67476,0.9129852382047708,0.9075575999677198,0.9102633282969997,0.08946511909405135
DummyClassifier,0.4999731012871034,0,74357,0,74349,0.4999731012871034,1.0,0.6666427562708749,0.5000268987128966
ExtraTreeClassifier,0.899661076217503,66808,7549,7372,66977,0.8987064916941738,0.9008460100337597,0.899774979009236,0.10033892378249701
ExtraTreesClassifier,0.9465993302220489,68476,5881,2060,72289,0.9247665344761418,0.9722928351423691,0.9479343557196153,0.053400669777951125
FixedThresholdClassifier,0.8946444662622893,65121,9236,6431,67918,0.8802913653213055,0.9135025353400853,0.8965895064784196,0.10535553373771064
GaussianNB,0.8730246257716568,57049,17308,1574,72775,0.8078660790604221,0.9788295740359655,0.8851683370633453,0.12697537422834318
GaussianProcessClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GradientBoostingClassifier,0.9406950627412478,67803,6554,2265,72084,0.9166560695846792,0.9695355687366339,0.9423545791472479,0.05930493725875217
HistGradientBoostingClassifier,0.9459873845036515,68421,5936,2096,72253,0.924081392523245,0.9718086322613619,0.9473442683134694,0.0540126154963485
KNeighborsClassifier,0.9146302099444542,65893,8464,4231,70118,0.8922908554121809,0.9430927114016329,0.9169887073255258,0.08536979005554585
LabelPropagation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LabelSpreading,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LinearDiscriminantAnalysis,0.8597299369225183,54535,19822,1037,73312,0.7871668778319411,0.9860522670109887,0.8754560164315184,0.14027006307748174
LinearSVC,0.9026401086708001,64640,9717,4761,69588,0.8774730470966522,0.9359641689868055,0.9057753133663946,0.0973598913291999
LogisticRegression,0.8946444662622893,65121,9236,6431,67918,0.8802913653213055,0.9135025353400853,0.8965895064784196,0.10535553373771064
LogisticRegressionCV,0.9271717348324883,66093,8264,2566,71783,0.8967606531162942,0.9654870946482131,0.9298556957434131,0.07282826516751173
MLPClassifier,0.9302112893898027,64846,9511,867,73482,0.8853999734917403,0.9883387806157446,0.9340417688856122,0.0697887106101973
MultiOutputClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MultinomialNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NearestCentroid,0.829199897784891,50927,23430,1969,72380,0.7554535017221584,0.973516792424915,0.8507337255155473,0.170800102215109
OneVsOneClassifier,0.8946444662622893,65121,9236,6431,67918,0.8802913653213055,0.9135025353400853,0.8965895064784196,0.10535553373771064
OneVsRestClassifier,0.8946444662622893,65121,9236,6431,67918,0.8802913653213055,0.9135025353400853,0.8965895064784196,0.10535553373771064
OutputCodeClassifier,0.5000268987128966,74357,0,74349,0,0.0,0.0,0.0,0.4999731012871034
PassiveAggressiveClassifier,0.8095974607615025,54372,19985,8329,66020,0.7676297889657578,0.8879742834469865,0.8234281651845292,0.19040253923849743
Perceptron,0.7503664949632161,59602,14755,22367,51982,0.778908251794357,0.6991620600142571,0.7368838864238832,0.249633505036784
QuadraticDiscriminantAnalysis,0.914024988904281,63744,10613,2172,72177,0.8718081893948545,0.9707864261792357,0.918638912046023,0.08597501109571908
RadiusNeighborsClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RandomForestClassifier,0.9454359608892714,68591,5766,2348,72001,0.9258554399681098,0.9684192120943119,0.9466591285597833,0.05456403911072855
RidgeClassifier,0.8597299369225183,54535,19822,1037,73312,0.7871668778319411,0.9860522670109887,0.8754560164315184,0.14027006307748174
RidgeClassifierCV,0.8558901456565303,53551,20806,624,73725,0.7799028889993759,0.9916071500625429,0.8731051634296542,0.14410985434346968
SGDClassifier,0.8538996409021828,57336,17021,4705,69644,0.8036000692321006,0.9367173734683721,0.8650676338703467,0.14610035909781716
TunedThresholdClassifierCV,0.8982556184686563,63175,11182,3948,70401,0.8629371315102411,0.9468990840495501,0.902970525613729,0.10174438153134373
VotingClassifier,0.9176832138582169,69903,4454,7787,66562,0.937281739326349,0.8952642268221496,0.9157912840092182,0.08231678614178312
XGBClassifier,0.9481258321789302,68675,5682,2032,72317,0.9271529122168233,0.9726694373831525,0.9493659253813638,0.05187416782106976
