Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
AdaBoostClassifier,0.9003724394785847,26381,2229,2372,15200,0.8721097022204372,0.8650125199180514,0.8685466129539156,0.09962756052141528
BaggingClassifier,0.9558919059373782,27488,1122,915,16657,0.9368918386860904,0.94792852264967,0.9423778676699386,0.044108094062621804
BernoulliNB,0.7005759819843229,16392,12218,1610,15962,0.5664300922640171,0.9083769633507853,0.6977618464766567,0.2994240180156771
CalibratedClassifierCV,0.9334372699320082,26930,1680,1394,16178,0.90592451562325,0.9206692465285682,0.9132373694609088,0.06656273006799186
CategoricalNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ClassifierChain,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ComplementNB,0.763890693343727,18520,10090,814,16758,0.6241805721096544,0.9536763032096517,0.7545249887438091,0.236109306656273
DecisionTreeClassifier,0.9340002598414967,26978,1632,1416,16156,0.908252754666067,0.9194172547234236,0.9138009049773755,0.06599974015850331
DummyClassifier,0.6195054350179724,28610,0,17572,0,0.0,0.0,0.0,0.3804945649820276
ExtraTreeClassifier,0.9267246979342602,26696,1914,1470,16102,0.8937611012433393,0.9163441839289779,0.9049117680116894,0.0732753020657399
ExtraTreesClassifier,0.9689922480620154,27492,1118,314,17258,0.9391597736177623,0.9821306624174824,0.9601646823189051,0.031007751937984496
FixedThresholdClassifier,0.9348447447057295,26953,1657,1352,16220,0.9073110700900598,0.923059412702026,0.9151174927360434,0.06515525529427049
GaussianNB,0.6981724481399679,15500,13110,829,16743,0.5608481559642247,0.9528226724334168,0.7060832894043226,0.3018275518600321
GaussianProcessClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GradientBoostingClassifier,0.9385474860335196,27006,1604,1234,16338,0.9106008248801695,0.9297746414750739,0.9200878526778172,0.061452513966480445
HistGradientBoostingClassifier,0.9650946256117102,27453,1157,455,17117,0.9366860019700121,0.9741065331208741,0.9550298499135189,0.03490537438828981
KNeighborsClassifier,0.9375081200467714,26079,2531,355,17217,0.871835122544055,0.9797974049624403,0.9226688102893891,0.06249187995322853
LabelPropagation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LabelSpreading,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LinearDiscriminantAnalysis,0.8735871118617643,26369,2241,3597,13975,0.8618031573754317,0.7952993398588664,0.8272167633479341,0.12641288813823567
LinearSVC,0.9333073491836646,26999,1611,1469,16103,0.9090549847578187,0.9164010926473936,0.9127132573825313,0.06669265081633537
LogisticRegression,0.9348447447057295,26953,1657,1352,16220,0.9073110700900598,0.923059412702026,0.9151174927360434,0.06515525529427049
LogisticRegressionCV,0.9347797843315577,26945,1665,1347,16225,0.9069312465064282,0.9233439562941043,0.915064012182054,0.06522021566844224
MLPClassifier,0.9681910701138972,27693,917,552,17020,0.9488766237386408,0.9685863874345549,0.9586302064265397,0.03180892988610281
MultiOutputClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MultinomialNB,0.77954614351912,19332,9278,903,16669,0.6424249431533511,0.9486114272706578,0.7660562053356006,0.22045385648088
NearestCentroid,0.8400675587891386,24574,4036,3350,14222,0.7789462153576514,0.8093557933075347,0.7938598939436227,0.15993244121086136
NuSVC,0.8969295396474817,26097,2513,2247,15325,0.8591209776880816,0.8721261097200091,0.8655746964134425,0.1030704603525183
OneVsOneClassifier,0.9348447447057295,26953,1657,1352,16220,0.9073110700900598,0.923059412702026,0.9151174927360434,0.06515525529427049
OneVsRestClassifier,0.9348447447057295,26953,1657,1352,16220,0.9073110700900598,0.923059412702026,0.9151174927360434,0.06515525529427049
OutputCodeClassifier,0.6195054350179724,28610,0,17572,0,0.0,0.0,0.0,0.3804945649820276
PassiveAggressiveClassifier,0.7843315577497726,27817,793,9167,8405,0.9137856055664275,0.47831777828363303,0.6279417258124766,0.21566844225022735
Perceptron,0.7737646702178338,27482,1128,9320,8252,0.8797441364605544,0.4696107443660369,0.6123478777085188,0.2262353297821662
QuadraticDiscriminantAnalysis,0.7063141483694946,15867,12743,820,16752,0.5679606713002203,0.9533348508991577,0.7118363184396711,0.29368585163050537
RadiusNeighborsClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RandomForestClassifier,0.9672166645013208,27542,1068,446,17126,0.941299329449269,0.9746187115866151,0.9576692948610412,0.032783335498679136
RidgeClassifier,0.8727642804555887,26391,2219,3657,13915,0.8624643609768191,0.7918848167539267,0.8256690203524595,0.12723571954441124
RidgeClassifierCV,0.8727642804555887,26391,2219,3657,13915,0.8624643609768191,0.7918848167539267,0.8256690203524595,0.12723571954441124
SGDClassifier,0.9275258758823784,26876,1734,1613,15959,0.9019951393206352,0.9082062371955384,0.9050900326102368,0.07247412411762158
SVC,0.9645316357022217,27350,1260,378,17194,0.9317221198656118,0.97848850443888,0.9545328373952146,0.03546836429777835
TunedThresholdClassifierCV,0.9357108830280195,26383,2227,742,16830,0.8831400535236396,0.9577737309355794,0.9189440061153731,0.06428911697198042
VotingClassifier,0.9500021653458057,27822,788,1521,16051,0.9532038719638933,0.9134418392897792,0.9328993635756008,0.04999783465419427
XGBClassifier,0.9656143086050842,27509,1101,487,17085,0.9394589244473771,0.972285454131573,0.9555903574025393,0.03438569139491577
