Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
AdaBoostClassifier,0.9124767225325885,26874,1736,2306,15266,0.8978943653687801,0.8687684953334851,0.8830913403135304,0.08752327746741155
BaggingClassifier,0.9564548958468667,27458,1152,859,16713,0.9355163727959698,0.951115410880947,0.9432514038998786,0.04354510415313326
BernoulliNB,0.7145641158893076,16632,11978,1204,16368,0.5774359698017357,0.9314819030275439,0.712923036717627,0.2854358841106925
CalibratedClassifierCV,0.9409726733359317,26967,1643,1083,16489,0.9093867196117361,0.9383678579558389,0.9236500112032265,0.05902732666406825
CategoricalNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ClassifierChain,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ComplementNB,0.7709280672123338,18389,10221,358,17214,0.6274466921815199,0.9796266788071932,0.7649476748061412,0.2290719327876662
DecisionTreeClassifier,0.934454982460699,27002,1608,1419,16153,0.9094645571758347,0.9192465285681767,0.9143293804658534,0.06554501753930103
DummyClassifier,0.6195054350179724,28610,0,17572,0,0.0,0.0,0.0,0.3804945649820276
ExtraTreeClassifier,0.9244077779221341,26588,2022,1469,16103,0.8884413793103448,0.9164010926473936,0.9022046670588565,0.07559222207786584
ExtraTreesClassifier,0.9693820103070461,27475,1135,279,17293,0.9384089429129585,0.9841224675620305,0.9607222222222223,0.030617989692953963
FixedThresholdClassifier,0.9413407821229051,26979,1631,1078,16494,0.9100137931034483,0.9386524015479172,0.9241112698546097,0.05865921787709497
GaussianNB,0.7166861547789182,16231,12379,705,16867,0.576728441496273,0.9598793535169587,0.7205348370284933,0.28331384522108183
GaussianProcessClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GradientBoostingClassifier,0.9427049499805119,27073,1537,1109,16463,0.9146111111111112,0.9368882312770317,0.9256156527605982,0.05729505001948811
HistGradientBoostingClassifier,0.9672383179593781,27499,1111,402,17170,0.9392265193370166,0.9771226951969042,0.9577999051683262,0.03276168204062189
KNeighborsClassifier,0.937897882291802,26070,2540,328,17244,0.8716134249898908,0.9813339403596631,0.9232251847092836,0.062102117708198
LabelPropagation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LabelSpreading,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LinearDiscriminantAnalysis,0.8785024468407605,26242,2368,3243,14329,0.8581781158291909,0.8154450261780105,0.836266013014678,0.12149755315923953
LinearSVC,0.9406911783811874,27000,1610,1129,16443,0.9108181465684374,0.9357500569087184,0.9231157894736842,0.05930882161881253
LogisticRegression,0.9413407821229051,26979,1631,1078,16494,0.9100137931034483,0.9386524015479172,0.9241112698546097,0.05865921787709497
LogisticRegressionCV,0.9417521978259928,26980,1630,1060,16512,0.9101532355859332,0.939676758479399,0.9246793974351795,0.05824780217400719
MLPClassifier,0.9682776839461262,27617,993,472,17100,0.9451168960371414,0.9731390849078079,0.9589233141735595,0.0317223160538738
MultiOutputClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MultinomialNB,0.7840067558789139,19027,9583,392,17180,0.6419310241751672,0.9776917823810608,0.7750084583286343,0.21599324412108614
NearestCentroid,0.8518253865142263,24885,3725,3118,14454,0.7950932394521151,0.8225586159799682,0.8085927666358983,0.14817461348577368
NuSVC,0.9016933004200771,26004,2606,1934,15638,0.8571585178688884,0.8899385385841111,0.873241009604646,0.09830669957992291
OneVsOneClassifier,0.9413407821229051,26979,1631,1078,16494,0.9100137931034483,0.9386524015479172,0.9241112698546097,0.05865921787709497
OneVsRestClassifier,0.9413407821229051,26979,1631,1078,16494,0.9100137931034483,0.9386524015479172,0.9241112698546097,0.05865921787709497
OutputCodeClassifier,0.9413407821229051,26979,1631,1078,16494,0.9100137931034483,0.9386524015479172,0.9241112698546097,0.05865921787709497
PassiveAggressiveClassifier,0.8791303971244208,27468,1142,4440,13132,0.9199943954042314,0.7473252902344639,0.8247189599949758,0.12086960287557923
Perceptron,0.9181932354597029,26234,2376,1402,16170,0.8718861209964412,0.9202139767812428,0.8953984163021208,0.08180676454029709
QuadraticDiscriminantAnalysis,0.7249794292148456,16751,11859,842,16730,0.5851901080835287,0.9520828590940132,0.7248543142479582,0.2750205707851544
RadiusNeighborsClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RandomForestClassifier,0.9681694166558399,27532,1078,392,17180,0.9409573885420089,0.9776917823810608,0.958972927714206,0.031830583344160064
RidgeClassifier,0.8777878827248712,26261,2349,3295,14277,0.8587152652472032,0.8124857728203961,0.8349611088367741,0.12221211727512883
RidgeClassifierCV,0.8777878827248712,26261,2349,3295,14277,0.8587152652472032,0.8124857728203961,0.8349611088367741,0.12221211727512883
SGDClassifier,0.9413624355809623,26704,1906,802,16770,0.897943885200257,0.9543592078306397,0.9252924299271684,0.05863756441903772
SVC,0.9651812394439392,27345,1265,343,17229,0.9315994376554558,0.9804803095834281,0.9554150723673266,0.034818760556060806
TunedThresholdClassifierCV,0.940994326793989,26474,2136,589,16983,0.888278675662953,0.9664807648531755,0.9257311057207489,0.059005673206011
VotingClassifier,0.9563249750985232,27804,806,1211,16361,0.9530494553503815,0.9310835419986342,0.9419384553383805,0.04367502490147677
XGBClassifier,0.9674115456238361,27530,1080,425,17147,0.9407472431008943,0.975813794673344,0.9579597195452387,0.032588454376163874
