Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
AdaBoostClassifier,0.9489411459010004,27482,1128,1230,16342,0.9354321694333142,0.9300022763487367,0.9327093202442783,0.05105885409899961
BaggingClassifier,0.9571261530466415,27453,1157,823,16749,0.9353847872221601,0.9531641247439108,0.9441907661085743,0.04287384695335845
BernoulliNB,0.7139794725217617,20795,7815,5394,12178,0.6091131896163657,0.6930343728659231,0.6483694928790097,0.28602052747823825
CalibratedClassifierCV,0.9487246113204278,27195,1415,953,16619,0.9215370965953199,0.9457659913498748,0.9334943548840083,0.051275388679572126
CategoricalNB,0.9452600580312676,27018,1592,936,16636,0.91266183892912,0.9467334395629411,0.9293854748603352,0.05473994196873241
ClassifierChain,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ComplementNB,0.7484517777489065,17188,11422,195,17377,0.6033890065627279,0.988902799908946,0.7494770438420565,0.2515482222510935
DecisionTreeClassifier,0.9420769996968515,27249,1361,1314,16258,0.922753845280663,0.9252219440018211,0.9239862464834759,0.05792300030314841
DummyClassifier,0.6195054350179724,28610,0,17572,0,0.0,0.0,0.0,0.3804945649820276
ExtraTreeClassifier,0.9388506344463211,27147,1463,1361,16211,0.9172230394930406,0.922547234236285,0.9198774329001873,0.06114936555367892
ExtraTreesClassifier,0.9612186566194622,27426,1184,607,16965,0.934762245853766,0.9654564079216936,0.9498614260519023,0.038781343380537875
FixedThresholdClassifier,0.9496990169330042,27189,1421,902,16670,0.9214526560168039,0.9486683359890735,0.9348624624961445,0.0503009830669958
GaussianNB,0.9256203715733403,25765,2845,590,16982,0.8565088011297726,0.9664238561347599,0.908152624401722,0.07437962842665974
GaussianProcessClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GradientBoostingClassifier,0.9611536962452903,27408,1202,592,16980,0.933890661093389,0.9663100386979285,0.949823795938916,0.03884630375470963
HistGradientBoostingClassifier,0.9623879433545537,27365,1245,492,17080,0.9320600272851296,0.9720009105394947,0.9516115552831713,0.03761205664544628
KNeighborsClassifier,0.9576458360400156,27180,1430,526,17046,0.9226022948690192,0.9700660141133621,0.9457390146471372,0.04235416395998441
LabelPropagation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LabelSpreading,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LinearDiscriminantAnalysis,0.9024728249101381,26376,2234,2270,15302,0.8726049270072993,0.8708172091964489,0.8717101515324143,0.09752717508986185
LinearSVC,0.9486813044043134,27220,1390,980,16592,0.9227004782560339,0.944229455952652,0.9333408336614727,0.05131869559568663
LogisticRegression,0.9496990169330042,27189,1421,902,16670,0.9214526560168039,0.9486683359890735,0.9348624624961445,0.0503009830669958
LogisticRegressionCV,0.9505001948811225,27169,1441,845,16727,0.9206847203874945,0.9519121329387662,0.9360380526021265,0.049499805118877485
MLPClassifier,0.962669438309298,27370,1240,484,17088,0.932343954604976,0.9724561802868199,0.9519777158774373,0.03733056169070201
MultiOutputClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MultinomialNB,0.758390714997185,17662,10948,210,17362,0.6132815259625574,0.9880491691327111,0.7568109498278192,0.24160928500281495
NearestCentroid,0.8559611970031614,24211,4399,2253,15319,0.7769043513540927,0.8717846574095152,0.8216143738267632,0.1440388029968386
NuSVC,0.9056775367026114,25580,3030,1326,16246,0.8428097115584146,0.9245390393808331,0.8817846287451151,0.0943224632973886
OneVsOneClassifier,0.9496990169330042,27189,1421,902,16670,0.9214526560168039,0.9486683359890735,0.9348624624961445,0.0503009830669958
OneVsRestClassifier,0.9496990169330042,27189,1421,902,16670,0.9214526560168039,0.9486683359890735,0.9348624624961445,0.0503009830669958
OutputCodeClassifier,0.9496990169330042,27189,1421,902,16670,0.9214526560168039,0.9486683359890735,0.9348624624961445,0.0503009830669958
PassiveAggressiveClassifier,0.9299294097267333,25573,3037,199,17373,0.8512003919647232,0.9886751650352834,0.9148017481965142,0.07007059027326665
Perceptron,0.9354077346152181,27448,1162,1821,15751,0.9312954532016792,0.8963692237650808,0.9134986225895316,0.06459226538478195
QuadraticDiscriminantAnalysis,0.7774024511714521,18843,9767,513,17059,0.6359129203012003,0.9708058274527658,0.7684580386503896,0.22259754882854793
RadiusNeighborsClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RandomForestClassifier,0.961803299987008,27414,1196,568,17004,0.9342857142857143,0.9676758479399044,0.9506876886950688,0.03819670001299207
RidgeClassifier,0.9022346368715084,26403,2207,2308,15264,0.8736763779978249,0.8686546778966537,0.8711582912421881,0.09776536312849161
RidgeClassifierCV,0.9022346368715084,26403,2207,2308,15264,0.8736763779978249,0.8686546778966537,0.8711582912421881,0.09776536312849161
SGDClassifier,0.949590749642718,26791,1819,509,17063,0.9036648660099565,0.9710334623264284,0.936138695342075,0.05040925035728206
SVC,0.9606989736260881,27243,1367,448,17124,0.9260721432048024,0.9745048941497837,0.9496714083686881,0.03930102637391191
TunedThresholdClassifierCV,0.9483781559915119,26624,1986,398,17174,0.8963465553235909,0.9773503300705668,0.9350974627028205,0.051621844008488155
VotingClassifier,0.9541596292927981,27595,1015,1102,16470,0.9419502430654847,0.9372865923059412,0.9396126308583165,0.04584037070720194
XGBClassifier,0.9621064483998094,27373,1237,513,17059,0.9323895933537385,0.9708058274527658,0.9512099921935987,0.03789355160019055
