Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
AdaBoostClassifier,0.848060178551747,84083,23064,4507,69806,0.7516528480671907,0.9393511229529153,0.8350849069582433,0.15193982144825305
BaggingClassifier,0.9056816929350822,97331,9816,7299,67014,0.872237407262788,0.9017803076177788,0.8867628669538119,0.0943183070649179
BernoulliNB,0.8556486277967597,85443,21704,4490,69823,0.7628677876473609,0.9395798850806723,0.8420525808007718,0.14435137220324037
CalibratedClassifierCV,0.8826022263859804,91012,16135,5168,69145,0.8107997185741088,0.9304563131618963,0.8665167018603572,0.11739777361401962
CategoricalNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ClassifierChain,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ComplementNB,0.7704783423343987,82177,24970,16679,57634,0.6977143963972688,0.7755574394789606,0.7345794273405686,0.22952165766560123
DecisionTreeClassifier,0.8700429846798192,94923,12224,11358,62955,0.8374014019872571,0.8471599854668765,0.8422524282235838,0.12995701532018075
DummyClassifier,0.5904717293067343,107147,0,74313,0,0.0,0.0,0.0,0.40952827069326575
ExtraTreeClassifier,0.854011903449796,92468,14679,11812,62501,0.8098082404768074,0.8410506909961918,0.8251338345666136,0.1459880965502039
ExtraTreesClassifier,0.9207428634409788,96736,10411,3971,70342,0.8710759971765755,0.9465638582751336,0.907252395754066,0.07925713655902127
FixedThresholdClassifier,0.8829990080458503,90968,16179,5052,69261,0.8106390449438202,0.9320172782689435,0.8671010873035249,0.11700099195414967
GaussianNB,0.8554833021051471,84083,23064,3160,71153,0.755203413396733,0.9574771574287136,0.844395656559663,0.14451669789485286
GaussianProcessClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GradientBoostingClassifier,0.898467981924391,92520,14627,3797,70516,0.8282066640827784,0.9489053059357044,0.884457154324704,0.10153201807560895
HistGradientBoostingClassifier,0.917893750688857,95895,11252,3647,70666,0.8626431309358139,0.9509237952982654,0.9046348035921168,0.08210624931114295
KNeighborsClassifier,0.8613358315882288,83736,23411,1751,72562,0.7560668104571078,0.9764375008410372,0.8522368251059982,0.13866416841177118
LabelPropagation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LabelSpreading,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LinearDiscriminantAnalysis,0.8096935963848783,85986,21161,13372,60941,0.7422596282672773,0.8200584016255568,0.7792219416296391,0.1903064036151218
LinearSVC,0.8822881075719167,90095,17052,4308,70005,0.8041283297150144,0.9420289855072463,0.8676333891057817,0.11771189242808332
LogisticRegression,0.8829990080458503,90968,16179,5052,69261,0.8106390449438202,0.9320172782689435,0.8671010873035249,0.11700099195414967
LogisticRegressionCV,0.8829494103383666,90971,16176,5064,69249,0.8106409130816505,0.9318557991199387,0.8670322653344852,0.11705058966163341
MLPClassifier,0.9236140196186488,96906,10241,3620,70693,0.873464798477772,0.9512871233835264,0.9107164711717457,0.07638598038135126
MultiOutputClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MultinomialNB,0.7674528821778904,82944,24203,17995,56318,0.6994200270736827,0.7578485594714249,0.7274629603317101,0.23254711782210954
NearestCentroid,0.6758844924501267,57245,49902,8912,65401,0.5672098731169181,0.8800748186723722,0.6898257531010041,0.3241155075498732
OneVsOneClassifier,0.8829990080458503,90968,16179,5052,69261,0.8106390449438202,0.9320172782689435,0.8671010873035249,0.11700099195414967
OneVsRestClassifier,0.8829990080458503,90968,16179,5052,69261,0.8106390449438202,0.9320172782689435,0.8671010873035249,0.11700099195414967
OutputCodeClassifier,0.8829990080458503,90968,16179,5052,69261,0.8106390449438202,0.9320172782689435,0.8671010873035249,0.11700099195414967
PassiveAggressiveClassifier,0.7283258018296043,95998,11149,38149,36164,0.7643565193498616,0.486644328717721,0.5946754805715884,0.2716741981703957
Perceptron,0.8648076711120908,90312,16835,7697,66616,0.7982648500317552,0.8964245825091168,0.8445019142516671,0.1351923288879092
QuadraticDiscriminantAnalysis,0.8589661633417833,84877,22270,3322,70991,0.7612077931825736,0.9552971889171478,0.8472794108871304,0.1410338366582167
RadiusNeighborsClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RandomForestClassifier,0.9209302325581395,96961,10186,4162,70151,0.8732091066382862,0.9439936484868058,0.9072227610733915,0.07906976744186046
RidgeClassifier,0.8093904992835886,86246,20901,13687,60626,0.7436309443497247,0.8158195739641786,0.7780544147843943,0.19060950071641133
RidgeClassifierCV,0.8093904992835886,86246,20901,13687,60626,0.7436309443497247,0.8158195739641786,0.7780544147843943,0.19060950071641133
SGDClassifier,0.8818141739226276,89980,17167,4279,70034,0.8031329915941331,0.9424192267840081,0.867218940772936,0.11818582607737242
TunedThresholdClassifierCV,0.8819354127631434,89381,17766,3658,70655,0.7990748804017145,0.950775772745011,0.868349576609682,0.1180645872368566
VotingClassifier,0.9092196627355891,97980,9167,7306,67007,0.8796571008480584,0.901686111447526,0.8905353950839607,0.09078033726441088
XGBClassifier,0.9212167970902678,95789,11358,2938,71375,0.8627149988517279,0.960464521685304,0.9089693465608802,0.07878320290973218
