Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
AdaBoostClassifier,0.8670616113744076,86285,20862,3261,71052,0.7730269599843331,0.9561180412579225,0.8548791712537674,0.13293838862559243
BaggingClassifier,0.9285958337925714,99499,7648,5309,69004,0.9002243907530136,0.928558933161089,0.9141721591097274,0.07140416620742863
BernoulliNB,0.8906866527058305,88412,18735,1101,73212,0.796241312930275,0.9851842880788019,0.8806928906531938,0.10931334729416951
CalibratedClassifierCV,0.9019232888790918,93308,13839,3958,70355,0.8356296173123976,0.9467387940198888,0.8877210470200054,0.09807671112090818
CategoricalNB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ClassifierChain,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ComplementNB,0.8484459384988428,82123,25024,2477,71836,0.7416477390047491,0.9666680123262417,0.8393379797047431,0.15155406150115727
DecisionTreeClassifier,0.8919321062493112,97294,9853,9757,64556,0.8675832224596487,0.8687039952632784,0.8681432471322333,0.10806789375068886
DummyClassifier,0.5904717293067343,107147,0,74313,0,0.0,0.0,0.0,0.40952827069326575
ExtraTreeClassifier,0.8735203350600683,94409,12738,10213,64100,0.8342226502511778,0.8625677876010927,0.8481584640525038,0.12647966493993165
ExtraTreesClassifier,0.9429405929681473,98772,8375,1979,72334,0.8962321426358895,0.9733693970099444,0.933209479944782,0.05705940703185275
FixedThresholdClassifier,0.9013832249531577,92995,14152,3743,70570,0.8329595618611458,0.9496319621062264,0.8874775992706008,0.09861677504684228
GaussianNB,0.8814504574010801,88611,18536,2976,71337,0.7937534075862606,0.9599531710467886,0.8689778665659679,0.11854954259891987
GaussianProcessClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GradientBoostingClassifier,0.9159484183842169,94213,12934,2318,71995,0.8477080855773647,0.9688076110505565,0.9042212481631731,0.08405158161578309
HistGradientBoostingClassifier,0.9385649729968037,98344,8803,2345,71968,0.8910128635277513,0.9684442829652954,0.9281163756415878,0.061435027003196294
KNeighborsClassifier,0.8729031191447151,85445,21702,1361,72952,0.7707228431973292,0.981685573183696,0.8635058916829913,0.12709688085528492
LabelPropagation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LabelSpreading,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LinearDiscriminantAnalysis,0.8150115727984129,85602,21545,12023,62290,0.7430070972744081,0.8382113492928559,0.7877431266914535,0.18498842720158712
LinearSVC,0.9015650832139315,92435,14712,3150,71163,0.8286812227074236,0.9576117233862178,0.8884935201138662,0.09843491678606855
LogisticRegression,0.9013832249531577,92995,14152,3743,70570,0.8329595618611458,0.9496319621062264,0.8874775992706008,0.09861677504684228
LogisticRegressionCV,0.9024964179433485,93375,13772,3921,70392,0.8363670928187824,0.9472366880626539,0.8883560390466756,0.0975035820566516
MLPClassifier,0.9466934861677505,99763,7384,2289,72024,0.9070118879709853,0.9691978523273183,0.9370743099511453,0.05330651383224953
MultiOutputClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MultinomialNB,0.8497024137550976,82618,24529,2744,71569,0.7447501508876355,0.963075101260883,0.8399575144796991,0.15029758624490247
NearestCentroid,0.6904441750247988,52724,54423,1749,72564,0.5714285714285714,0.976464414032538,0.7209538002980626,0.3095558249752011
OneVsOneClassifier,0.9013832249531577,92995,14152,3743,70570,0.8329595618611458,0.9496319621062264,0.8874775992706008,0.09861677504684228
OneVsRestClassifier,0.9013832249531577,92995,14152,3743,70570,0.8329595618611458,0.9496319621062264,0.8874775992706008,0.09861677504684228
OutputCodeClassifier,0.9013832249531577,92995,14152,3743,70570,0.8329595618611458,0.9496319621062264,0.8874775992706008,0.09861677504684228
PassiveAggressiveClassifier,0.7531522098534112,101463,5684,39109,35204,0.8609861083936607,0.4737259967973302,0.6111752502148419,0.24684779014658878
Perceptron,0.8231786619640692,94865,12282,19804,54509,0.8161129493494632,0.7335055777589385,0.7726074384850891,0.17682133803593078
QuadraticDiscriminantAnalysis,0.8851702854623609,89739,17408,3429,70884,0.8028360440356997,0.9538573331718542,0.8718551090064881,0.11482971453763915
RadiusNeighborsClassifier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
RandomForestClassifier,0.940785848120798,99018,8129,2616,71697,0.8981660110740861,0.9647975455169351,0.930290192618351,0.05921415187920203
RidgeClassifier,0.8153422241816378,85866,21281,12227,62086,0.7447311286240359,0.8354662037597729,0.7874936580416032,0.18465777581836218
RidgeClassifierCV,0.8153367133252507,85865,21282,12227,62086,0.7447221955666443,0.8354662037597729,0.7874886638212594,0.18466328667474927
SGDClassifier,0.8994213600793564,91767,15380,2871,71442,0.8228559581672847,0.9613661136005813,0.8867347255406957,0.10057863992064367
TunedThresholdClassifierCV,0.9002810536757412,91861,15286,2809,71504,0.8238737181702961,0.9622004225371066,0.8876805521933173,0.09971894632425879
VotingClassifier,0.9325195635401742,99907,7240,5005,69308,0.9054188221769347,0.9326497382692126,0.9188325677279084,0.06748043645982586
XGBClassifier,0.9409566846687976,98351,8796,1918,72395,0.8916628690372086,0.9741902493507193,0.9311014507665397,0.05904331533120247
