Classifier,Accuracy,MSE,TN,FP,FN,TP
AdaBoostClassifier,0.9568230046338401,0.04317699536615997,27334,1276,718,16854
BaggingClassifier,0.9571261530466415,0.04287384695335845,27453,1157,823,16749
BernoulliNB,0.7139794725217617,0.28602052747823825,20795,7815,5394,12178
CalibratedClassifierCV,0.9487246113204278,0.051275388679572126,27195,1415,953,16619
CategoricalNB,0.9452600580312676,0.05473994196873241,27018,1592,936,16636
ClassifierChain,NULL,NULL,NULL,NULL,NULL,NULL
ComplementNB,0.7484517777489065,0.2515482222510935,17188,11422,195,17377
DecisionTreeClassifier,0.9420769996968515,0.05792300030314841,27249,1361,1314,16258
DummyClassifier,0.6195054350179724,0.3804945649820276,28610,0,17572,0
ExtraTreeClassifier,0.9388506344463211,0.06114936555367892,27147,1463,1361,16211
ExtraTreesClassifier,0.9612186566194622,0.038781343380537875,27426,1184,607,16965
FixedThresholdClassifier,0.9496990169330042,0.0503009830669958,27189,1421,902,16670
GaussianNB,0.9256203715733403,0.07437962842665974,25765,2845,590,16982
GaussianProcessClassifier,NULL,NULL,NULL,NULL,NULL,NULL
GradientBoostingClassifier,0.9611536962452903,0.03884630375470963,27408,1202,592,16980
HistGradientBoostingClassifier,0.9623879433545537,0.03761205664544628,27365,1245,492,17080
KNeighborsClassifier,0.9576458360400156,0.04235416395998441,27180,1430,526,17046
LabelPropagation,NULL,NULL,NULL,NULL,NULL,NULL
LabelSpreading,NULL,NULL,NULL,NULL,NULL,NULL
LinearDiscriminantAnalysis,0.9024728249101381,0.09752717508986185,26376,2234,2270,15302
LinearSVC,0.9487029578623706,0.05129704213762938,27220,1390,979,16593
LogisticRegression,0.9496990169330042,0.0503009830669958,27189,1421,902,16670
LogisticRegressionCV,0.9505001948811225,0.049499805118877485,27169,1441,845,16727
MLPClassifier,0.9618466069031224,0.03815339309687757,27197,1413,349,17223
MultiOutputClassifier,NULL,NULL,NULL,NULL,NULL,NULL
MultinomialNB,0.758390714997185,0.24160928500281495,17662,10948,210,17362
NearestCentroid,0.8559611970031614,0.1440388029968386,24211,4399,2253,15319
NuSVC,0.9056775367026114,0.0943224632973886,25580,3030,1326,16246
OneVsOneClassifier,0.9496990169330042,0.0503009830669958,27189,1421,902,16670
OneVsRestClassifier,0.9496990169330042,0.0503009830669958,27189,1421,902,16670
OutputCodeClassifier,0.9496990169330042,0.0503009830669958,27189,1421,902,16670
PassiveAggressiveClassifier,0.9299294097267333,0.07007059027326665,25573,3037,199,17373
Perceptron,0.9354077346152181,0.06459226538478195,27448,1162,1821,15751
QuadraticDiscriminantAnalysis,0.7774024511714521,0.22259754882854793,18843,9767,513,17059
RadiusNeighborsClassifier,NULL,NULL,NULL,NULL,NULL,NULL
RandomForestClassifier,0.961803299987008,0.03819670001299207,27414,1196,568,17004
RidgeClassifier,0.9022346368715084,0.09776536312849161,26403,2207,2308,15264
RidgeClassifierCV,0.9022346368715084,0.09776536312849161,26403,2207,2308,15264
SGDClassifier,0.949590749642718,0.05040925035728206,26791,1819,509,17063
SVC,0.9606989736260881,0.03930102637391191,27243,1367,448,17124
TunedThresholdClassifierCV,0.9483781559915119,0.051621844008488155,26624,1986,398,17174
VotingClassifier,0.9541379758347408,0.04586202416525919,27594,1016,1102,16470
