Classifier,Accuracy,MSE,TN,FP,FN,TP
AdaBoostClassifier,0.9218959767874929,0.07810402321250703,26915,1695,1912,15660
BaggingClassifier,0.9558919059373782,0.044108094062621804,27488,1122,915,16657
BernoulliNB,0.7005759819843229,0.2994240180156771,16392,12218,1610,15962
CalibratedClassifierCV,0.9334372699320082,0.06656273006799186,26930,1680,1394,16178
CategoricalNB,NULL,NULL,NULL,NULL,NULL,NULL
ClassifierChain,NULL,NULL,NULL,NULL,NULL,NULL
ComplementNB,0.763890693343727,0.236109306656273,18520,10090,814,16758
DecisionTreeClassifier,0.9340002598414967,0.06599974015850331,26978,1632,1416,16156
DummyClassifier,0.6195054350179724,0.3804945649820276,28610,0,17572,0
ExtraTreeClassifier,0.9267246979342602,0.0732753020657399,26696,1914,1470,16102
ExtraTreesClassifier,0.9689922480620154,0.031007751937984496,27492,1118,314,17258
FixedThresholdClassifier,0.9348447447057295,0.06515525529427049,26953,1657,1352,16220
GaussianNB,0.6981724481399679,0.3018275518600321,15500,13110,829,16743
GaussianProcessClassifier,NULL,NULL,NULL,NULL,NULL,NULL
GradientBoostingClassifier,0.9385474860335196,0.061452513966480445,27006,1604,1234,16338
HistGradientBoostingClassifier,0.9650946256117102,0.03490537438828981,27453,1157,455,17117
KNeighborsClassifier,0.9375081200467714,0.06249187995322853,26079,2531,355,17217
LabelPropagation,NULL,NULL,NULL,NULL,NULL,NULL
LabelSpreading,NULL,NULL,NULL,NULL,NULL,NULL
LinearDiscriminantAnalysis,0.8735871118617643,0.12641288813823567,26369,2241,3597,13975
LinearSVC,0.9333290026417219,0.06667099735827811,26999,1611,1468,16104
LogisticRegression,0.9348447447057295,0.06515525529427049,26953,1657,1352,16220
LogisticRegressionCV,0.9346931704993288,0.06530682950067125,26940,1670,1346,16226
MLPClassifier,0.9681910701138972,0.03180892988610281,27693,917,552,17020
MultiOutputClassifier,NULL,NULL,NULL,NULL,NULL,NULL
MultinomialNB,0.77954614351912,0.22045385648088,19332,9278,903,16669
NearestCentroid,0.8400675587891386,0.15993244121086136,24574,4036,3350,14222
NuSVC,0.8969295396474817,0.1030704603525183,26097,2513,2247,15325
OneVsOneClassifier,0.9348447447057295,0.06515525529427049,26953,1657,1352,16220
OneVsRestClassifier,0.9348447447057295,0.06515525529427049,26953,1657,1352,16220
OutputCodeClassifier,0.9348447447057295,0.06515525529427049,26953,1657,1352,16220
PassiveAggressiveClassifier,0.7843315577497726,0.21566844225022735,27817,793,9167,8405
Perceptron,0.7737646702178338,0.2262353297821662,27482,1128,9320,8252
QuadraticDiscriminantAnalysis,0.7063141483694946,0.29368585163050537,15867,12743,820,16752
RadiusNeighborsClassifier,NULL,NULL,NULL,NULL,NULL,NULL
RandomForestClassifier,0.9672166645013208,0.032783335498679136,27542,1068,446,17126
RidgeClassifier,0.8727642804555887,0.12723571954441124,26391,2219,3657,13915
RidgeClassifierCV,0.8727642804555887,0.12723571954441124,26391,2219,3657,13915
SGDClassifier,0.9275258758823784,0.07247412411762158,26876,1734,1613,15959
SVC,0.9645316357022217,0.03546836429777835,27350,1260,378,17194
TunedThresholdClassifierCV,0.9357108830280195,0.06428911697198042,26383,2227,742,16830
VotingClassifier,0.9497206703910615,0.05027932960893855,27806,804,1518,16054
